INSERT INTO MECZE VALUES ('1', '1', '12', '1', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('2', '2', '13', '5', '3', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('3', '3', '16', '0', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('4', '4', '6', '1', '2', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('5', '5', '10', '0', '1', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('6', '7', '14', '4', '2', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('7', '8', '9', '5', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('8', '11', '15', '0', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('9', '1', '9', '2', '3', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('10', '2', '13', '3', '0', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('11', '3', '8', '2', '4', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('12', '4', '15', '5', '1', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('13', '5', '16', '4', '2', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('14', '6', '12', '3', '5', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('15', '7', '11', '4', '4', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('16', '10', '14', '1', '3', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('17', '1', '7', '5', '4', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('18', '2', '12', '5', '5', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('19', '3', '14', '0', '1', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('20', '4', '5', '4', '2', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('21', '6', '8', '4', '5', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('22', '9', '13', '5', '0', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
