INSERT INTO MECZE VALUES ('1', '17', '14', '5', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('2', '15', '7', '5', '4', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('3', '5', '6', '4', '2', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('4', '10', '10', '1', '3', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('5', '1', '13', '1', '2', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('6', '9', '4', '3', '0', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('7', '3', '3', '4', '4', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('8', '16', '11', '2', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('9', '2', '12', '5', '0', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('10', '15', '2', '5', '1', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('11', '5', '4', '5', '3', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('12', '17', '10', '3', '2', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('13', '1', '6', '5', '4', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('14', '12', '16', '4', '3', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('15', '3', '7', '5', '3', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('16', '8', '11', '4', '5', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('17', '14', '14', '0', '4', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('18', '13', '13', '4', '4', to_date('29.6.2013', 'dd/mm/yyyy'), '2');
INSERT INTO MECZE VALUES ('19', '2', '16', '2', '3', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('20', '13', '14', '0', '3', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('21', '12', '3', '3', '5', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('22', '1', '1', '0', '2', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('23', '15', '7', '5', '4', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('24', '11', '6', '2', '1', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('25', '17', '10', '2', '0', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('26', '5', '8', '3', '5', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('27', '4', '4', '0', '0', to_date('1.7.2013', 'dd/mm/yyyy'), '3');
INSERT INTO MECZE VALUES ('28', '9', '9', '5', '0', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('29', '12', '15', '2', '4', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('30', '11', '8', '5', '3', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('31', '10', '5', '4', '0', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('32', '7', '7', '5', '5', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('33', '14', '3', '5', '4', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('34', '13', '13', '3', '4', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('35', '2', '2', '3', '5', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('36', '1', '16', '1', '5', to_date('8.7.2013', 'dd/mm/yyyy'), '4');
INSERT INTO MECZE VALUES ('37', '5', '2', '5', '5', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('38', '13', '7', '5', '0', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('39', '3', '14', '2', '4', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('40', '4', '9', '0', '5', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('41', '10', '16', '4', '5', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('42', '17', '12', '2', '3', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
